City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Lulea,SE,65.5842,22.1547,59.07,94,75,5.75,broken clouds
192,Umm Lajj,SA,25.0213,37.2685,87.78,73,89,2.95,overcast clouds
193,Oneida,US,43.2001,-75.4663,68.58,87,100,3.0,overcast clouds
194,Eregli,TR,37.5133,34.0467,67.77,44,0,0.76,clear sky
195,Sile,TR,41.1754,29.6133,73.56,71,8,7.0,clear sky
196,Dikson,RU,73.5069,80.5464,39.99,84,100,14.18,overcast clouds
197,Qaanaaq,GL,77.484,-69.3632,34.21,62,0,4.56,clear sky
198,Sandakan,MY,5.8402,118.1179,85.68,79,20,5.01,few clouds
199,Lompoc,US,34.6391,-120.4579,84.56,63,0,14.97,clear sky
200,Biak,ID,-0.9131,122.8766,80.69,77,55,6.62,broken clouds
201,Maceio,BR,-9.6658,-35.7353,71.04,88,0,2.3,clear sky
202,Lebu,CL,-37.6167,-73.65,47.79,80,100,10.51,overcast clouds
203,Palana,RU,59.1167,159.9667,58.73,65,100,1.41,overcast clouds
204,Dingle,PH,10.9995,122.6711,82.24,79,96,2.19,overcast clouds
205,Okhotsk,RU,59.3833,143.3,58.48,88,100,13.33,light rain
206,Rio Gallegos,AR,-51.6226,-69.2181,42.85,81,100,9.22,overcast clouds
207,Mirzapur,IN,25.15,82.5833,84.16,72,70,18.61,broken clouds
208,Honiara,SB,-9.4333,159.95,83.95,73,29,3.89,light rain
209,Ahipara,NZ,-35.1667,173.1667,58.82,56,64,2.26,broken clouds
210,Rusape,ZW,-18.5278,32.1284,49.8,56,0,2.75,clear sky
211,Khandyga,RU,62.6667,135.6,69.89,66,100,4.18,overcast clouds
212,Evans,US,33.5337,-82.1307,84.51,78,75,0.0,broken clouds
213,Lakes Entrance,AU,-37.8811,147.981,54.3,57,100,8.68,overcast clouds
214,Tuatapere,NZ,-46.1333,167.6833,45.73,71,100,3.09,overcast clouds
215,Charters Towers,AU,-20.1,146.2667,71.15,33,6,14.83,clear sky
216,Rio Grande,BR,-32.035,-52.0986,49.95,75,100,16.22,overcast clouds
217,Port Blair,IN,11.6667,92.75,82.44,78,75,11.5,broken clouds
218,Talnakh,RU,69.4865,88.3972,51.21,74,76,8.61,broken clouds
219,Mandalgovi,MN,45.7625,106.2708,71.24,43,59,9.89,broken clouds
220,De-Kastri,RU,51.4667,140.7833,71.46,51,100,6.62,overcast clouds
221,Ponta Do Sol,PT,32.6667,-17.1,70.72,89,13,4.59,few clouds
222,Hofn,IS,64.2539,-15.2082,51.89,93,87,20.29,overcast clouds
223,Porbandar,IN,21.6422,69.6093,81.45,88,100,10.04,overcast clouds
224,Takhatpur,IN,22.15,81.8667,78.98,85,92,5.75,overcast clouds
225,George Town,MY,5.4112,100.3354,85.95,85,20,2.3,haze
226,Arica,CL,-18.475,-70.3042,59.23,77,100,4.61,overcast clouds
227,Iskateley,RU,67.6803,53.1512,49.66,73,99,7.83,overcast clouds
228,Lisa,RO,43.8,25.1333,68.56,72,42,4.38,scattered clouds
229,Hambantota,LK,6.1241,81.1185,71.94,100,20,0.0,few clouds
230,Taltal,CL,-25.4,-70.4833,67.59,38,0,3.69,clear sky
231,Bethel,US,41.3712,-73.414,82.76,75,33,5.59,scattered clouds
232,Lima,PE,-12.0432,-77.0282,59.9,84,100,5.75,overcast clouds
233,Nalut,LY,30.3333,10.85,78.8,50,0,14.27,clear sky
234,Chuy,UY,-33.6971,-53.4616,47.07,81,0,7.61,clear sky
235,Sambava,MG,-14.2667,50.1667,68.36,79,48,13.24,scattered clouds
236,Malibu,US,34.005,-118.8101,96.24,22,5,6.35,clear sky
237,Faya,SA,18.3851,42.4509,64.51,82,99,6.89,overcast clouds
238,Miandoab,IR,36.9694,46.1027,68.79,60,0,9.98,clear sky
239,Cururupu,BR,-1.8283,-44.8683,75.13,89,26,4.45,scattered clouds
240,Avarua,CK,-21.2078,-159.775,77.05,61,75,12.66,broken clouds
